48786009,47050525
2347879,1668190
3472972,2559877
3030890,2180677
2626222,1887740
1575061,969787
2077989,1285116
3611045,2872778
1946403,1104634
1817152,1162187
3518902,2740288
2194624,1574555
3338446,1775384
2629749,1124730
3660157,2937966
2431274,839548
2520918,1370036
5529095,4407428
5054208,1072275
28719140,23659029
4507898,3766484
17089107,15238148
2596425,1027000
3319563,1898427
1570097,920727
6936957,5949164
1642178,994257
2334670,2055784
12904146,6435258
13976672,11437776
1643177,1036512
3019708,1522412
4069572,2497015
7618305,7352676
3839461,1551472
11710296,4145976
4956412,3287300
2611495,1892203
2158281,1510404
2428666,884990
1877200,1580830
3168421,1457426
6408295,6107934
8817996,6885716
5528295,1459334
3587415,1952434
2521493,1760528
6154228,5479127
6219823,3607453
20101268,18516396
13287409,4359887
5518324,3772829
15407615,2576970
21964338,21240971
2121288,1464986
3456434,2716278
9038988,8625164
13694290,13410399
14600516,9882695
6993698,4129487
18192244,8321921
7704972,2219800
1506721,801853
14232934,12114031
2287114,1669571
2736255,2109213
3874001,2283572
2515601,980057
26103199,20062400
28440705,22087665
30023036,24849888
52225627,49674033
11404808,5343775
41582982,37726388
10917465,6697059
15190487,10471105
17545186,11318679
12289937,8648066
14207750,9083375
51481696,46369633
8942158,6662259
6189351,4546873
13228472,7787447
6859418,6584908
6822665,6100978
8060641,6164880
8116761,1364081
15060568,3091357
4030810,2682663
4624663,3062133
7576366,6910814
3863686,2291360
18970206,17317930
3169527,2324751
2378834,1853792
5621860,4536680
7141969,6057328
10377261,2462927
2455741,1841583
2101312,1399344
1535955,1183507
3919370,3240233
8298136,3784384
2621261,1984482
1886907,1276571
5134898,4484246
2695325,2042919
2578273,1981114
27703488,26383508
2352346,2023138
5962416,2532214
3163221,2223072
2118923,1274700
2936410,2286800
3392721,2161220
7036044,6324013
5571473,4860036
1551457,857448
2187252,1587645
2758218,2128174
2720450,1982088
2211896,1522644
8182088,7544171
21634714,18354105
2184343,1458973
7061466,5564071
8826778,7160066
11158338,9010224
11629943,9692241
3645385,2064447
17555364,1756379
2111838,1435449
1385886,723212
4071920,2734080
2266453,1369044
8420149,1523490
1920939,1293496
2432778,1750799
1939740,1343716
9630341,8962427
17109261,16170251
17088048,3472510
20432201,1598653
3109727,2815232
3915038,3305130
14005495,10970089
3035183,2629775
12281829,10877665
3953789,2320065
3102585,2811048
16214850,12911445
9187618,6888697
7442956,3881487
7191323,5989952
9308739,6520221
9067280,6550967
2202395,1115349
13955082,11892179
53493914,51293964
1741452,1226191
2519015,1722241
8456530,7618128
3235171,2533494
1764269,1112545
5268771,4130216
4555192,4258166
5349472,4404715
10675258,9030707
3104532,2129178
3598529,2752820
20372343,19612852
16776531,16068897
2847871,1981537
10389339,9479048
2935579,2002754
2886082,1855649
1911860,1253443
3395683,2553225
2684776,1796112
2638842,1706055
2230799,1532039
3819596,3246976
2544798,1687941
2682472,2024981
1661713,867206
2762518,1889685
2129534,1580962
7793184,4355749
3253177,2237293
3284272,2331149
10028720,9343568
2750250,1796580
5720805,4163857
19567918,18894361
3219402,2402208
8039349,6211416
9722915,8447644
5964653,5296415
5074954,3584448
7297013,1132795
5995469,1800284
14595801,5023143
5586644,2790057
11129428,7090824
4681547,1993381
2400936,877021
7060315,1240596
9589151,3673578
2879317,1209068
3261655,2576130
1750031,1136298
8613907,2234397
9947894,4367931
6793924,3329901
13365100,9436938
2416853,1713919
2612902,1926828
2311874,1575999
5554879,1805888
2763010,2126617
5699252,5018000
1578513,921882
3328372,2689932
2505526,1973711
14231519,13239849
2962111,2084235
2027625,1429992
4139486,3507872
8675561,7257621
8841319,8120128
1755505,1263235
6670986,5913085
9682040,8775297
14359943,13379311
2848154,2180904
7729771,3765926
45887445,34682287
2945278,2060983
6721944,5924153
2253224,1585709
2584717,1930306
2912159,2301676
2895623,2225343
4103292,1952588
5014917,2851085
13612476,10777792
11237631,7420394
7579065,5187866
12005064,8723620
5229367,2804811
6991874,1445390
3295288,1682970
5035093,1416266
2973600,1369298
2979602,2677689
11652183,4438843
4164551,2613531
19350424,16189549
4819739,2378503
6405802,3789997
5022323,3405996
6907706,3504317
9134251,1746189
4860292,3310283
10111647,3560062
9027639,7304536
2408051,836319
2375649,844857
5102467,2276597
10200911,7168906
4412965,1765024
8892739,1629465
8667525,6715113
2358983,855545
4054849,2116430
9617678,4981727
3965963,2463808
2884436,1403573
2447050,876451
2800731,1144982
2537577,997008
2358488,802564
2290834,740516
2755114,1117419
3485673,1577259
11282368,9338978
2578418,1056299
3837225,2088178
4565253,2716750
4169748,1606683
5793385,4236949
9132590,6522199
5878665,4404116
2297932,1539890
12106527,10301802
1988801,1385817
2470219,1882163
2834089,2278254
8258189,4805629
3426006,2769361
2006020,1397977
2123223,1476849
9507049,8924512
12942112,12279230
7213138,6691072
17269498,16233742
2114754,1472644
2238815,1636773
10601740,9969682
3132213,2271666
2857804,1921292
2809514,2096147
6026659,5356998
5419808,4313026
5936157,4766137
13498861,2523655
1745101,994873
6851217,6145947
23770934,16174151
2907414,2084046
3296348,2444660
2462309,1679792
2865676,2176531
4524729,3944535
3476187,2613208
